barcode,brand_id,categories,cost_price,description,id,inventory_level,inventory_warning_level,name,review_message,price,reviews_count,reviews_rating_sum,url_image
02-5757630,1,Health,593,Spleen capsular tear-opn,1,81,20,"Terrasil Itch, Rash and Pain Relief",Exclusive 24/7 projection,3510,1,68,http://dummyimage.com/212x236.png/dddddd/000000
46-4498670,2,Tools,966,Tick-borne hem fever NEC,2,94,11,Diltiazem Hydrochloride,Centralized static database,1988,2,58,http://dummyimage.com/227x244.png/cc0000/ffffff
82-6273846,3,Movies,28,Malfunc vasc device/graf,3,89,26,Deb Med Antimicrobial Foaming Hand Wash Fragrance Free Dye Free,Public-key motivating conglomeration,6517,3,70,http://dummyimage.com/113x146.bmp/5fa2dd/ffffff
96-0910835,4,Books,980,Dicalc phos cryst-up/arm,4,90,22,Calcarea Phos Kit Refill,Proactive systemic database,7353,2,62,http://dummyimage.com/109x137.bmp/ff4444/ffffff
87-7591726,5,Movies,325,Abn find antenatl screen,5,96,27,NARS ALL DAY LUMINOUS FOUNDATION,Optimized asynchronous application,2559,3,69,http://dummyimage.com/249x154.bmp/dddddd/000000
09-1005900,6,Books,436,Adjust neuropacemaker,6,81,20,ATORVASTATIN CALCIUM,Face to face well-modulated data-warehouse,2789,3,99,http://dummyimage.com/132x173.jpg/cc0000/ffffff
90-7604329,7,Games,97,Var mgrn NEC w ntrc mgr,7,69,20,Warfarin Sodium,Decentralized optimal Graphical User Interface,3746,3,76,http://dummyimage.com/145x152.bmp/5fa2dd/ffffff
14-1529747,8,Music,588,Chr inf otit externa NEC,8,51,19,PRILOSEC,Devolved multi-tasking policy,5035,1,67,http://dummyimage.com/134x169.jpg/5fa2dd/ffffff
06-2181067,9,Sports,505,Oth off-road mv-pers NEC,9,66,20,Acyclovir,Exclusive 4th generation matrices,7150,1,67,http://dummyimage.com/250x170.jpg/5fa2dd/ffffff
31-0310163,10,Toys,305,Clonorchiasis,10,56,16,Cystagon,Grass-roots composite Graphic Interface,7619,3,89,http://dummyimage.com/217x158.bmp/cc0000/ffffff
